timestamps,values
2019-07-01T00:00:00Z,18.97581719562222
2019-07-01T00:01:00Z,19.695174954382857
2019-07-01T00:02:00Z,16.31330853214859
2019-07-01T00:03:00Z,20.331654977073065
2019-07-01T00:04:00Z,18.060659236448895
2019-07-01T00:05:00Z,19.994547938258044
2019-07-01T00:06:00Z,17.61429151220152
2019-07-01T00:07:00Z,18.247356555440547
2019-07-01T00:08:00Z,19.482417819590832
2019-07-01T00:09:00Z,16.61381399303034
2019-07-01T00:10:00Z,18.710818211236976
2019-07-01T00:11:00Z,21.779597876652403
2019-07-01T00:12:00Z,19.78118619881921
2019-07-01T00:13:00Z,18.944274427512624
2019-07-01T00:14:00Z,18.731076689008894
2019-07-01T00:15:00Z,20.4282024411103
2019-07-01T00:16:00Z,18.44000002267878
2019-07-01T00:17:00Z,19.348356399949722
2019-07-01T00:18:00Z,18.711713442896787
2019-07-01T00:19:00Z,18.06950581850902
2019-07-01T00:20:00Z,19.12380216377465
2019-07-01T00:21:00Z,20.812413814186193
2019-07-01T00:22:00Z,15.660016018429975
2019-07-01T00:23:00Z,18.078228365298138
2019-07-01T00:24:00Z,17.798458345627616
2019-07-01T00:25:00Z,18.61852065598745
2019-07-01T00:26:00Z,20.84909771550593
2019-07-01T00:27:00Z,18.835661918732114
2019-07-01T00:28:00Z,20.15712500529697
2019-07-01T00:29:00Z,18.958639279919623
2019-07-01T00:30:00Z,17.5852429862931
2019-07-01T00:31:00Z,16.300776968540045
2019-07-01T00:32:00Z,22.01576186395519
2019-07-01T00:33:00Z,18.806903857170923
2019-07-01T00:34:00Z,20.12601272145996
2019-07-01T00:35:00Z,18.655764265324837
2019-07-01T00:36:00Z,20.371556642758993
2019-07-01T00:37:00Z,17.338323894739215
2019-07-01T00:38:00Z,20.162071622460655
2019-07-01T00:39:00Z,17.492068085365503
2019-07-01T00:40:00Z,16.774320528952114
2019-07-01T00:41:00Z,18.109435545138183
2019-07-01T00:42:00Z,20.099073443626708
2019-07-01T00:43:00Z,18.481240283130276
2019-07-01T00:44:00Z,20.258133641674988
2019-07-01T00:45:00Z,18.450141752964857
2019-07-01T00:46:00Z,16.638899084123477
2019-07-01T00:47:00Z,18.63597078741594
2019-07-01T00:48:00Z,17.735779265450255
2019-07-01T00:49:00Z,18.98824419824495
2019-07-01T00:50:00Z,18.510223992702702
2019-07-01T00:51:00Z,21.832804183974165
2019-07-01T00:52:00Z,18.37927497979338
2019-07-01T00:53:00Z,15.985844266856585
2019-07-01T00:54:00Z,15.112426405326241
2019-07-01T00:55:00Z,17.69497720572616
2019-07-01T00:56:00Z,18.755140805519094
2019-07-01T00:57:00Z,16.795150147634132
2019-07-01T00:58:00Z,19.596655544762303
2019-07-01T00:59:00Z,18.921277491220362
2019-07-01T01:00:00Z,16.910595066559708
2019-07-01T01:01:00Z,18.242672191270053
2019-07-01T01:02:00Z,19.52499855263956
2019-07-01T01:03:00Z,21.199945875665488
2019-07-01T01:04:00Z,18.38068643964745
2019-07-01T01:05:00Z,21.359703818128246
2019-07-01T01:06:00Z,20.962250924044664
2019-07-01T01:07:00Z,16.464082932125656
2019-07-01T01:08:00Z,17.057207361075157
2019-07-01T01:09:00Z,20.04873366207319
2019-07-01T01:10:00Z,16.21413026271846
2019-07-01T01:11:00Z,20.55984855040582
2019-07-01T01:12:00Z,18.511993286095457
2019-07-01T01:13:00Z,20.39049051292408
2019-07-01T01:14:00Z,15.988854365521153
2019-07-01T01:15:00Z,19.066752467402758
2019-07-01T01:16:00Z,16.164224988179487
2019-07-01T01:17:00Z,17.68407261261944
2019-07-01T01:18:00Z,16.64638580648412
2019-07-01T01:19:00Z,16.21207016667227
2019-07-01T01:20:00Z,19.12720254241025
2019-07-01T01:21:00Z,17.45674034915583
2019-07-01T01:22:00Z,19.84294729594884
2019-07-01T01:23:00Z,20.100533953981163
2019-07-01T01:24:00Z,17.484918865333963
2019-07-01T01:25:00Z,18.79683728929136
2019-07-01T01:26:00Z,18.3536158051413
2019-07-01T01:27:00Z,18.764380342502623
2019-07-01T01:28:00Z,17.830894828056888
2019-07-01T01:29:00Z,19.07754867306181
2019-07-01T01:30:00Z,18.26320641028913
2019-07-01T01:31:00Z,18.973911226678435
2019-07-01T01:32:00Z,18.65710843742302
2019-07-01T01:33:00Z,16.434481173207242
2019-07-01T01:34:00Z,18.988016547117063
2019-07-01T01:35:00Z,18.71011488995353
2019-07-01T01:36:00Z,18.70203612299368
2019-07-01T01:37:00Z,18.044548653059575
2019-07-01T01:38:00Z,19.740179529094235
2019-07-01T01:39:00Z,19.243413918758232
2019-07-01T01:40:00Z,18.21800190344328
2019-07-01T01:41:00Z,19.79729780562469
2019-07-01T01:42:00Z,19.151595694444904
2019-07-01T01:43:00Z,18.65201529237742
2019-07-01T01:44:00Z,20.175889404873754
2019-07-01T01:45:00Z,18.428278412271073
2019-07-01T01:46:00Z,19.40319562210758
2019-07-01T01:47:00Z,22.004639870869834
2019-07-01T01:48:00Z,20.98498167502765
2019-07-01T01:49:00Z,17.211459348005842
2019-07-01T01:50:00Z,18.913154539764772
2019-07-01T01:51:00Z,18.289697453602734
2019-07-01T01:52:00Z,17.313006112106045
2019-07-01T01:53:00Z,17.80084827250451
2019-07-01T01:54:00Z,18.281899670619733
2019-07-01T01:55:00Z,19.22165647661931
2019-07-01T01:56:00Z,19.638819372772502
2019-07-01T01:57:00Z,21.33305086359468
2019-07-01T01:58:00Z,17.119000189413647
2019-07-01T01:59:00Z,19.022617218425957
2019-07-01T02:00:00Z,17.305025338566956
2019-07-01T02:01:00Z,21.528952673720003
2019-07-01T02:02:00Z,19.74871466256209
2019-07-01T02:03:00Z,18.51420466552494
2019-07-01T02:04:00Z,18.647894498089258
2019-07-01T02:05:00Z,18.724911913946013
2019-07-01T02:06:00Z,15.127948462029444
2019-07-01T02:07:00Z,18.190409744953545
2019-07-01T02:08:00Z,19.024280377198046
2019-07-01T02:09:00Z,17.981079090800755
2019-07-01T02:10:00Z,15.866878222888406
2019-07-01T02:11:00Z,19.909713540423763
